Code,Subject,         Level,Year,    Total,         DN,         HM,         MT,         AD,         PA,         NG
83,GAEILGE T2           ,G,2022,134,3,15.7,47.8,23.9,7.5,2.2
3,MATHEMATICS            ,A,2022,40276,3.6,22.6,44.4,21.3,7.4,0.6
3,MATHEMATICS            ,G,2022,25700,3.3,31.1,42.3,16.3,6.7,0.5
4,HISTORY                ,C,2022,56860,2.9,22.6,45,21.4,7.3,0.7
5,GEOGRAPHY              ,C,2022,58608,2.6,23.6,46.1,20.4,6.9,0.4
10,FRENCH                 ,C,2022,29267,4.1,19.9,37.4,25.9,11.5,1
11,GERMAN                 ,C,2022,10740,3.5,22.1,42.3,21.2,9.8,1.2
12,SPANISH                ,C,2022,15761,3.2,24.8,41.1,20,9.5,1.4
13,ITALIAN                ,C,2022,459,7.4,26.1,42.9,16.6,5.2,1.7
27,ENGINEERING            ,C,2022,9050,2.3,29.8,35.6,16.3,12.5,3.6
42,BUSINESS STUDIES       ,C,2022,37342,3.4,22.1,43.2,21.6,8.7,1.1
46,MUSIC                  ,C,2022,11447,6.5,38.3,38.5,11.1,4.7,1
52,HOME ECONOMICS         ,C,2022,26322,2.2,29.9,53.4,10.7,3.1,0.7
57,SCIENCE                ,C,2022,62554,3.8,25.4,41.7,19.3,8.9,0.9
106,CLASSICS               ,C,2022,909,5.4,36.4,41.5,12,4.2,0.6
125,APPLIED TECHNOLOGY     ,C,2022,5662,2.2,19.4,42.9,22.3,10.7,2.5
126,WOOD TECHNOLOGY        ,C,2022,20203,2.3,32.8,51.2,9.7,2.1,1.7
137,GRAPHICS               ,C,2022,13883,4.6,23.6,40.1,17.7,10.4,3.6
220,RELIGIOUS EDUCATION    ,C,2022,25112,3.5,24.9,49.7,16.9,4.4,0.7
569,VISUAL ART             ,C,2022,20856,2.3,14.2,41.1,34.7,6.3,1.4
